timestamp,id,days_until_halving,week_sin,week_cos,month_sin,month_cos
2024-10-29,05bf91a3-52e5-40ef-b09d-0c471617116e,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,05bf91a3-52e5-40ef-b09d-0c471617116e,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,05bf91a3-52e5-40ef-b09d-0c471617116e,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,05bf91a3-52e5-40ef-b09d-0c471617116e,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,05bf91a3-52e5-40ef-b09d-0c471617116e,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
2024-11-03,05bf91a3-52e5-40ef-b09d-0c471617116e,1.3937795032011886,0.4338837391185353,-0.9009688679019485,0.7818314824681989,-0.6234898018585215
2024-10-29,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
2024-11-03,1a5aa1bf-0512-4a7d-ac19-ddaccfbee99f,1.3937795032011886,0.4338837391185353,-0.9009688679019485,0.7818314824681989,-0.6234898018585215
2024-10-29,21bca36c-d10c-4df1-87aa-25888c272328,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,21bca36c-d10c-4df1-87aa-25888c272328,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,21bca36c-d10c-4df1-87aa-25888c272328,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,21bca36c-d10c-4df1-87aa-25888c272328,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,21bca36c-d10c-4df1-87aa-25888c272328,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
2024-11-03,21bca36c-d10c-4df1-87aa-25888c272328,1.3937795032011886,0.4338837391185353,-0.9009688679019485,0.7818314824681989,-0.6234898018585215
2024-10-29,24f283e8-459a-451a-aa23-e7d87058bc8e,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,24f283e8-459a-451a-aa23-e7d87058bc8e,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,24f283e8-459a-451a-aa23-e7d87058bc8e,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,24f283e8-459a-451a-aa23-e7d87058bc8e,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,24f283e8-459a-451a-aa23-e7d87058bc8e,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
2024-11-03,24f283e8-459a-451a-aa23-e7d87058bc8e,1.3937795032011886,0.4338837391185353,-0.9009688679019485,0.7818314824681989,-0.6234898018585215
2024-10-29,30321bcc-7749-4c54-824d-a308a68ae4f9,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,30321bcc-7749-4c54-824d-a308a68ae4f9,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,30321bcc-7749-4c54-824d-a308a68ae4f9,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,30321bcc-7749-4c54-824d-a308a68ae4f9,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,30321bcc-7749-4c54-824d-a308a68ae4f9,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
2024-11-03,30321bcc-7749-4c54-824d-a308a68ae4f9,1.3937795032011886,0.4338837391185353,-0.9009688679019485,0.7818314824681989,-0.6234898018585215
2024-10-29,474ab169-7082-4128-90ef-6004690230c4,1.4057858852495677,-0.9749279121818242,-0.2225209339563117,0.9009688679024195,0.4338837391175575
2024-10-30,474ab169-7082-4128-90ef-6004690230c4,1.403384608839892,-0.7818314824686173,0.6234898018579969,0.9749279121817712,0.22252093395654407
2024-10-31,474ab169-7082-4128-90ef-6004690230c4,1.400983332430216,-1.887349267191483e-12,1.0,1.0,4.718373167978707e-13
2024-11-01,474ab169-7082-4128-90ef-6004690230c4,1.3985820560205402,0.7818314824685321,0.6234898018581037,0.9749279121817788,-0.22252093395651074
2024-11-02,474ab169-7082-4128-90ef-6004690230c4,1.3961807796108645,0.9749279121818546,-0.22252093395617842,0.9009688679024342,-0.4338837391175267
