id,name,slug,logo,date_launched,notice,weekly_visits,spot_volume_usd
151,Gemini,gemini,https://s2.coinmarketcap.com/static/img/exchanges/64x64/151.png,2015-10-01T00:00:00.000Z,,153525.0,29629901.53241225
154,Dex-Trade,dex-trade,https://s2.coinmarketcap.com/static/img/exchanges/64x64/154.png,2018-12-18T00:00:00.000Z,,550369.0,100599687.0567819
157,BitMEX,bitmex,https://s2.coinmarketcap.com/static/img/exchanges/64x64/157.png,2014-04-01T00:00:00.000Z,,102112.0,47270.58687768
10403,Raydium (CPMM),raydium-cpmm,https://s2.coinmarketcap.com/static/img/exchanges/64x64/10403.png,,,225952.0,2154111.72332205
166,Independent Reserve,independent-reserve,https://s2.coinmarketcap.com/static/img/exchanges/64x64/166.png,2013-05-24T00:00:00.000Z,,32096.0,2373664.22081583
6310,Trader Joe (BSC),trader-joe-bsc,https://s2.coinmarketcap.com/static/img/exchanges/64x64/6310.png,,,80713.0,108.90425555
171,Luno,luno,https://s2.coinmarketcap.com/static/img/exchanges/64x64/171.png,2017-02-11T00:00:00.000Z,,147773.0,4763927.20668493
174,Coinone,coinone,https://s2.coinmarketcap.com/static/img/exchanges/64x64/174.png,2014-06-11T00:00:00.000Z,,119412.0,18843125.6363691
194,Korbit,korbit,https://s2.coinmarketcap.com/static/img/exchanges/64x64/194.png,2013-07-25T00:00:00.000Z,,13191.0,6612133.57426525
8388,Salavi Exchange,salavi-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/8388.png,2023-06-30T00:00:00.000Z,,4363.0,75889460.78847384
200,Bithumb,bithumb,https://s2.coinmarketcap.com/static/img/exchanges/64x64/200.png,2014-01-01T00:00:00.000Z,,593710.0,426505167.8414014
201,Lykke Exchange,lykke-exchange,https://s2.coinmarketcap.com/static/img/exchanges/64x64/201.png,2016-06-29T00:00:00.000Z,,3084.0,14259.10958432
10445,Ebi.xyz,ebi-xyz,https://s2.coinmarketcap.com/static/img/exchanges/64x64/10445.png,2024-06-19T00:00:00.000Z,,30398.0,
