crypto_id,exchange_id,exchange_name,exchange_slug
31297,"[521, 513, 406, 7302, 102, 9450, 302, 544, 9717, 350, 10846, 16, 9665, 440, 622]","['Bybit', 'Bitget', 'BitMart', 'Bitunix', 'HTX', 'Zedxion Exchange', 'Gate.io', 'MEXC', 'Koinbay', 'CoinEx', 'TNNS PROX', 'Poloniex', 'ZKE', 'Cryptology', 'NovaDAX']","['bybit', 'bitget', 'bitmart', 'bitunix', 'htx', 'zedxion-exchange', 'gate-io', 'mexc', 'koinbay', 'coinex', 'tnns-prox', 'poloniex', 'zke', 'cryptology', 'novadax']"
31301,[1342],['Raydium'],['raydium']
31305,"[7680, 10361, 407, 9867, 333, 5751, 943, 9298, 433, 517, 9218, 406, 1064, 1247, 8125, 1645, 10153, 7302, 102, 9450, 525, 302, 544, 5319, 9606, 937, 9584, 658, 9717, 955, 350, 10846, 9217, 16, 9665, 9588, 1261, 622]","['DOEX', 'CoinUp.io', 'DigiFinex', 'KCEX', 'LBank', 'WEEX', 'Hotcoin', 'BiKing', 'Bitrue', 'CoinW', 'Hibt', 'BitMart', 'BingX', 'FameEX', 'OrangeX', 'Tapbit', 'Ourbit', 'Bitunix', 'HTX', 'Zedxion Exchange', 'XT.COM', 'Gate.io', 'MEXC', 'SuperEx', 'BiFinance', 'Biconomy.com', 'B2Z Exchange', 'BTSE', 'Koinbay', 'Phemex', 'CoinEx', 'TNNS PROX', 'GroveX', 'Poloniex', 'ZKE', 'Welcoin', 'OpenOcean', 'NovaDAX']","['doex', 'coinup-io', 'digifinex', 'kcex', 'lbank', 'weex', 'hotcoin-global', 'biking', 'bitrue', 'coinw', 'hibt', 'bitmart', 'bingx', 'fameex', 'orangex', 'tapbit', 'ourbit', 'bitunix', 'htx', 'zedxion-exchange', 'xt', 'gate-io', 'mexc', 'superex', 'bifinance-exchange', 'biconomy', 'b2z-exchange', 'btse', 'koinbay', 'phemex', 'coinex', 'tnns-prox', 'grovex', 'poloniex', 'zke', 'welcoin', 'openocean', 'novadax']"
31320,"[302, 544, 350, 1348, 68]","['Gate.io', 'MEXC', 'CoinEx', 'Uniswap v3 (Ethereum)', 'Indodax']","['gate-io', 'mexc', 'coinex', 'uniswap-v3', 'indodax']"
31322,[1069],['Uniswap v2'],['uniswap-v2']
31330,"[16, 1612, 1342]","['Poloniex', 'Jupiter', 'Raydium']","['poloniex', 'jupiter', 'raydium']"
31333,"[1612, 1342, 9883]","['Jupiter', 'Raydium', 'Meteora VP']","['jupiter', 'raydium', 'meteora-vp']"
31346,[1069],['Uniswap v2'],['uniswap-v2']
31349,[1342],['Raydium'],['raydium']
31354,"[1612, 1342]","['Jupiter', 'Raydium']","['jupiter', 'raydium']"
