id,name,symbol,slug
23555,YOM,YOM,your-open-metaverse
4978,Wownero,WOW,wownero
31629,BloodLoop,BLS,bloodloop
8620,TOWER,TOWER,tower-token
28543,Dypius [New],DYP,defi-yield-protocol-v2
24106,Reality Metaverse,RMV,reality-metaverse
28867,Reboot,GG,reboot
31297,Bubble,BUBBLE,bubble-imaginaryones
11926,Thetan World,THG,thetan-arena
8163,Exeedme,XED,exeedme
11560,DeHub,DHB,dehub
10861,Gamestarter,GAME,gamestarter
16057,Blink Galaxy,GQ,outer-ring-mmo-gq
5541,Xaya,CHI,xaya
2149,Unikoin Gold,UKG,unikoin-gold
14722,DOGAMÍ,DOGA,dogami
11990,Medacoin,MEDA,medacoin
10334,BabySwap,BABY,babyswap
28518,Morra,MORRA,morra
17073,Affyn,FYN,affyn
6709,Vidya,VIDYA,vidya
9488,ZooKeeper,ZOO,zookeeper
14145,holoride,RIDE,holoride
9665,My DeFi Pet,DPET,my-defi-pet
31165,MetalCore,MCG,metalcore
17605,Aether Games,AEG,aethergames
23780,Decentrawood,DEOD,decentrawood
20997,Wombat Web 3 Gaming Platform,WOMBAT,wombat-web-3-gaming-platform
22680,DinoLFG,DINO,dinolfg
20382,Battle World,BWO,battle-world
9461,X World Games,XWG,x-world-games
31463,LandRocker,LRT,landrocker
14133,WAM,WAM,wam-app
10046,Dotmoovs,MOOV,dotmoovs
12240,MARS4,MARS4,mars4
18354,Rebel Bots,RBLS,rebel-bots
12722,Cryowar,CWAR,cryowar
9200,Revomon,REVO,revomon
27862,Veloce,VEXT,veloce-vext
31074,Crypto Unicorns,CU,crypto-unicorns
9866,FEAR,FEAR,fear-nfts
11925,Monsta Infinite,MONI,monsta-infinite
6891,Niftyx Protocol,SHROOM,niftyx-protocol
18330,VisionGame,VISION,vision-game
8648,ChainGuardians,CGG,chain-guardians
15585,GuildFi,GF,guildfi
10040,Wall Street Games (old),WSG,wall-street-games
14681,Fabwelt,WELT,fabwelt
9545,NFTb,NFTB,nftb
30772,Exverse,EXVG,exverse
17462,Heroes Chained,HEC,heroes-chained
18871,Rainbow Token,RBW,rainbowtoken
9958,SafeMoon Inu,SMI,safemoon-inu
30490,Planet Mojo,MOJO,planet-mojo
3336,IQeon,IQN,iqeon
31320,Sekuya Multiverse,SKYA,sekuya-multiverse
1715,MobileGo,MGO,mobilego
28128,Captain Tsubasa,TSUGT,captain-tsubasa
1603,Databits,DTB,databits
11309,OneRare Foodverse,ORARE,onerare
8429,Clash Token,SCT,clash-token
10704,Binamon,BMON,binamon
10622,XCarnival,XCV,xcarnival
22484,Eldarune,ELDA,eldarune
29648,Wall Street Games,WSG,wall-street-games-new
14915,Unix Gaming,UNIX,unix-gaming
12751,Blockchain Monster Hunt,BCMC,blockchain-monster-hunt
11663,Elemon,ELMON,elemon
29603,Icon.X World,ICNX,icon-x-world
9962,STARSHIP,STARSHIP,starship
28725,Meme Alliance,MMA,meme-alliance
30001,Castle of Blackwater,COBE,castle-of-blackwater
23191,Kingdomverse,KING,kingdomverse
7776,Vanilla Network,VNLA,vanilla-network
7342,Wrapped Origin Axie,WOA,wrapped-origin-axie
11779,Dreams Quest,DREAMS,dreams-quest
24363,The Unfettered Ecosystem,SOULS,the-unfettered
24728,Magical Blocks,MBLK,magical-blocks
10953,Kaby Arena,KABY,kaby-arena
21621,Legends of Elysium,LOE,legends-of-elysium
8968,Protocol Monsters,PMON,polkamon
11978,Revolve Games,RPG,revolve-games
22487,Artisse,CATHEON,catheon-gaming
12278,Playermon,PYM,playermon
2389,ugChain,UGC,ugchain
27939,Token IN,TIN,token-in
7821,Royale Finance,ROYA,royale-finance
10803,RealFevr,FEVR,realfevr
16948,Monsterra (MSTR),MSTR,monsterra
10462,SHILL Token,SHILL,project-seed
24742,BullBear AI,AIBB,bullbear-ai
29834,Nemesis Downfall,ND,nemesis-downfall
12826,Mars Token,MRST,mars-token
11291,Kryptomon,KMON,kryptomon
18741,MetaFighter,MF,metafighter
18531,Wizardia,WZRD,wizardia
11324,Forest Knight,KNIGHT,forest-knight
25391,The QWAN,QWAN,the-qwan
20488,Chain of Legends,CLEG,chain-of-legends
13216,Ninneko,NINO,ninneko
9654,CryptoBlades,SKILL,cryptoblades
9218,Mist,MIST,mist
13655,Crabada,CRA,crabada
11412,Binemon,BIN,binemon
10427,POLKER,PKR,polker
8128,DFSocial Gaming [old],DFSOCIAL,defisocial-gaming
7472,Wrapped Gen-0 CryptoKitties,WG0,wrapped-gen-0-cryptokitties
9530,FaraLand,FARA,faraland
12599,ASPO World,ASPO,aspo-world
9503,CryptoTycoon,CTT,cryptotycoon
11945,My Master War,MAT,my-master-war
7809,Carbon,CARBON,carbon
5618,Dawn Protocol,DAWN,dawn-protocol
15100,RaceFi,RACEFI,racefi
2323,HEROcoin,PLAY,herocoin
576,GameCredits,GAME,gamecredits
12203,Defina Finance,FINA,defina-finance
2553,Refereum,RFR,refereum
15178,Gunstar Metaverse,GSTS,gunstar-metaverse
12315,DOSE,DOSE,dose
9416,The Crypto Prophecies,TCP,the-crypto-prophecies
11923,Elpis Battle,EBA,elpis-battle
9440,Mochi Market,MOMA,mochi-market
9269,Refinable,FINE,refinable
10748,PolkaWar,PWAR,polkawar
11448,The HUSL,HUSL,the-husl
8105,ROCKI,ROCKI,rocki
13932,Genesis Worlds,GENESIS,genesis-worlds
1481,Nexium,NXC,nexium
9259,TheForce Trade,FOC,theforce-trade
14523,SolChicks Token,CHICKS,solchicks-token
29880,Bowled.io,BWLD,bowled
12973,MicroPets (OLD),PETS,micropets
17694,IQ Protocol,IQT,iq-protocol
2509,EtherSportz,ESZ,ethersportz
13068,COGI,COGI,9d-nft
3894,Crypto Sports Network,CSPN,crypto-sports
11066,DinoX,DNXC,dinox
12592,DFSocial Gaming,DFSG,defisocial-gaming-new
10905,AirNFTs,AIRT,airnfts
3449,MMOCoin,MMO,mmocoin
9432,Crypto Kombat,KOMBAT,crypto-kombat
11685,BetU,BETU,betu
15141,DeFi Degen Land,DDL,defi-degen-land
16447,CryptoTanks,TANK,cryptotanks
9018,GamyFi Platform,GFX,gamyfi-platform
12878,BEMIL Coin,BEM,bemil-coin
9905,Rune,RUNE,rune
11290,StarTerra,STT,starterra
19464,MetaShooter,MHUNT,metashooter
2420,Nitro,NOX,nitro
9253,Twinci,TWIN,twinci
18483,Era Token (Era7),ERA,era-token
11067,Step Hero,HERO,step-hero
10285,Bitspawn,SPWN,bitspawn-protocol
12307,Warena,RENA,warena
12051,Cryptopolis,CPO,cryptopolis
11605,HeroFi,HEROEGG,herofi
15703,Crypto Piece,BELLY,crypto-piece
13164,HeroFi (ROFI),ROFI,rofi
15067,FOTA - Fight Of The Ages,FOTA,fota
12367,Avaxtars Token,AVXT,avaxtars
9920,RUSH COIN,RUSH,rush-coin
12815,CryptoPlanes,CPAN,cryptoplanes
7380,Dracula Token,DRC,dracula-token
18681,Nomad Exiles,PRIDE,nomad-exiles
18721,Citizen Finance V2,CIFI,citizen-finance-v2
18723,C2X,CTX,c2x
29260,Etherpets,EPETS,etherpets
29299,Web3Games.com,WGT,web3games
11675,Dope Wars Paper,PAPER,dope-wars-paper
29310,Unagi Token,UNA,unagi-token
11715,Snook,SNK,snook
29339,Berry,BERRY,pixels-berry
11757,Pearl,PEARL,crypto-bay
