iter	RMSE
290	0.1209426809
291	0.1208459083
292	0.120786949
293	0.1206633261
294	0.1206192855
295	0.1205256496
296	0.120461485
297	0.1203810435
298	0.1203402006
299	0.1202735871
300	0.1202269078
301	0.120140413
302	0.1200262638
303	0.119919412
304	0.1198485041
305	0.1198105753
306	0.1197577122
307	0.119662352
308	0.1195723665
309	0.1194817152
310	0.1193905129
311	0.11931164
312	0.1192855238
313	0.1192345492
314	0.1191703735
315	0.1191280993
316	0.1190481799
317	0.1189551644
318	0.1189153048
319	0.1188298619
320	0.1187724405
321	0.118677643
322	0.1185883873
323	0.11851033
324	0.118474292
325	0.1183842581
326	0.1182988305
327	0.1182171111
328	0.1181051822
329	0.118038586
330	0.1179354171
331	0.1178716668
332	0.1177785576
333	0.1176966841
334	0.1176479034
335	0.1175886659
336	0.1175280832
337	0.1174371172
338	0.1173581442
339	0.1173170242
340	0.1172141395
341	0.117157095
342	0.1170962128
343	0.1170334957
344	0.116994399
345	0.1168936997
346	0.116835246
347	0.1167776073
348	0.116733341
349	0.1166596824
350	0.1166031778
351	0.1165102673
352	0.1164772794
353	0.1164561768
354	0.1163916726
355	0.1162972198
356	0.116226162
357	0.1161736413
358	0.1161336661
359	0.1160921566
360	0.1160339005
361	0.1159691166
362	0.1159174217
363	0.1158430571
364	0.1158170065
365	0.1157684642
366	0.1156941787
367	0.115624906
368	0.1155341725
369	0.1154720634
370	0.1153945451
371	0.1153639514
372	0.1153136942
373	0.1151846344
374	0.1150936205
375	0.1150417565
376	0.1150199451
377	0.1149471
378	0.1148702418
379	0.1147861644
380	0.1147369136
381	0.1146424595
382	0.1145290226
383	0.1144496143
384	0.1144039184
385	0.1143039698
386	0.1142465823
387	0.1141990796
388	0.1141145605
389	0.1140404579
390	0.1139696412
391	0.1138827059
392	0.1138472292
393	0.1138155463
394	0.113759018
395	0.1136977308
396	0.1136511085
397	0.1136261238
398	0.1135771469
399	0.1135099582
400	0.1134250402
401	0.1133926228
402	0.1133286224
403	0.113265143
404	0.1132181955
405	0.1131395767
406	0.1131053262
407	0.1130485142
408	0.1129963057
409	0.1129780897
410	0.1129150612
411	0.1128391671
412	0.1127877444
413	0.1127544181
414	0.1127251079
415	0.1126811661
416	0.1126536512
417	0.1126169863
418	0.1125653861
419	0.1125200275
420	0.1124733508
421	0.1124262906
422	0.1123605353
423	0.1123062062
424	0.1122717731
425	0.1121934207
426	0.1121691432
427	0.1120761473
428	0.1120302108
429	0.1119429954
430	0.1118681185
431	0.1117861796
432	0.1117336331
433	0.1116640396
434	0.111586016
435	0.1115486381
436	0.1115042372
437	0.1114344776
438	0.1114089781
439	0.1113450261
440	0.1112790648
441	0.1112182518
442	0.1111888143
443	0.111174434
444	0.1111077974
445	0.1110800841
446	0.1110403993
447	0.1110001187
448	0.1108592362
449	0.1107898883
450	0.1107611407
451	0.1107469122
452	0.1106675279
453	0.1105965878
454	0.1105672949
455	0.110533972
456	0.1104820549
457	0.1104105639
458	0.1103616457
459	0.1103018768
460	0.1102707812
461	0.1102259571
462	0.1101980054
463	0.1101586829
464	0.1101210651
465	0.1100685677
466	0.1100321417
467	0.1100061735
468	0.1099611394
469	0.1099312164
470	0.1099103699
471	0.1098575098
472	0.1098033275
473	0.1097348045
474	0.1096973098
475	0.1096810999
476	0.1095749383
477	0.1094954072
478	0.1094692
479	0.1093887355
480	0.1093611542
481	0.1093026165
482	0.1092202673
483	0.1091804075
484	0.1090638069
485	0.109019641
486	0.1089593187
487	0.1089115094
488	0.1088681454
489	0.108839886
490	0.1087870777
491	0.1087635928
492	0.1087520133
493	0.1086437407
494	0.1086158392
495	0.1085764618
496	0.1085446802
497	0.1085192171
498	0.1084528713
499	0.108428326
500	0.1084127028
501	0.1083836371
502	0.1083163531
503	0.1082541047
504	0.1082337558
505	0.1082185292
506	0.1081818336
507	0.1081224057
508	0.1080537033
509	0.1079901061
510	0.1079508723
511	0.1078308932
512	0.1077835995
513	0.1077340421
514	0.107670592
515	0.1076082802
516	0.107589278
517	0.1075328222
518	0.107472197
519	0.1074460268
520	0.1073979381
521	0.1073060938
522	0.1072315055
523	0.107157133
524	0.1071042989
525	0.1070637984
526	0.1070147917
527	0.1069308802
528	0.1068475195
529	0.1068295703
530	0.1067553372
531	0.106680476
532	0.1066376547
533	0.1065965069
534	0.1065404681
535	0.1065225457
536	0.1064899972
537	0.1064297316
538	0.1063781634
539	0.1063038576
540	0.1062490979
541	0.1061972486
542	0.1061443361
543	0.1060963723
544	0.1060413134
545	0.1059619228
546	0.1058715054
547	0.1058108135
548	0.1057477651
549	0.1057053556
550	0.1056263678
551	0.1055561975
552	0.1054976744
553	0.1054187437
554	0.1053608246
555	0.1053214751
556	0.1052732873
557	0.1052258042
558	0.1051625798
559	0.1050779567
560	0.1050376169
561	0.104977163
562	0.1049064706
563	0.1048628397
564	0.1048131066
565	0.1047583554
566	0.1047327943
567	0.1047145825
568	0.1046851736
569	0.1045974884
570	0.1045256652
571	0.1045115109
572	0.1044584322
573	0.1044339408
574	0.1043996457
575	0.1043499513
576	0.1042931433
577	0.1042524367
578	0.1042075256
579	0.104152456
580	0.1041139037
581	0.10405455
582	0.1039961559
583	0.1039475483
584	0.1038949197
585	0.1038434134
586	0.1038057962
587	0.1037669197
588	0.1037111452
589	0.1036444009
590	0.1035972556
591	0.1035474117
592	0.1034957225
593	0.1034657408
594	0.1034108497
595	0.1033581614
596	0.1033266886
597	0.1032699767
598	0.1032201055
599	0.1031608198
600	0.1031258599
601	0.1030740734
602	0.1030442099
603	0.1029942947
604	0.1029482249
605	0.1028991653
606	0.1028680433
607	0.1028109002
608	0.1027665615
609	0.1027414037
610	0.1026929136
611	0.1026437381
612	0.1026238158
613	0.102603322
614	0.1025626008
615	0.1025377711
616	0.1024946326
617	0.1024438646
618	0.1023975174
619	0.1023413498
620	0.1022923413
621	0.1022424325
622	0.102228306
623	0.1021890389
624	0.1021766684
625	0.1021422188
626	0.1021223136
627	0.1020627306
628	0.102034016
629	0.1019769964
630	0.1019540072
631	0.1019119569
632	0.1018740086
633	0.1018156363
634	0.1017831063
635	0.1017487126
636	0.1017074797
637	0.1016768589
638	0.1016497812
639	0.1015992274
640	0.101571022
641	0.1015316433
642	0.1015175891
643	0.1014853374
644	0.1014534546
645	0.101412111
646	0.1013664918
647	0.1013246427
648	0.1012904363
649	0.1012344621
650	0.1011943287
651	0.1011435718
652	0.1010871495
653	0.1010575216
654	0.1010070545
655	0.1009656908
656	0.1009169612
657	0.100872809
658	0.1008505369
659	0.1008370277
660	0.1008142073
661	0.1007600028
662	0.100719283
663	0.1006748677
664	0.1006167178
665	0.1005889214
666	0.1005354431
667	0.1005177877
668	0.1005058007
669	0.1004493496
670	0.1004065703
671	0.1003612382
672	0.1003367805
673	0.1003091116
674	0.1002778748
675	0.100236179
676	0.1001884151
677	0.1001408773
678	0.1000981206
679	0.1000485679
680	0.1000055443
681	0.09996811886
682	0.09995502983
683	0.09993595304
684	0.09989183703
685	0.09985881893
686	0.09982341373
687	0.09977605475
688	0.09976512874
689	0.0996919742
690	0.09967290383
691	0.09964757456
692	0.09960014315
693	0.09953394845
694	0.09948490426
695	0.09944149955
696	0.09941211673
697	0.09935529319
698	0.09932327459
699	0.09926803179
700	0.09921926284
701	0.09915336696
702	0.09910734837
703	0.0990533059
704	0.09900966369
705	0.09897568169
706	0.09894620204
707	0.09889663483
708	0.09887096357
709	0.09884137139
710	0.09882869158
711	0.09879352938
712	0.09875574269
713	0.09873979485
714	0.09871699591
715	0.09867510836
716	0.09863681788
717	0.0986146325
718	0.0985761585
719	0.09854125149
720	0.09850087853
721	0.09848345747
722	0.09846192874
723	0.09842097319
724	0.09839794455
725	0.09838741985
726	0.0983391485
727	0.09828628804
728	0.09824747884
729	0.09820683211
730	0.09819121836
731	0.09815787067
732	0.09811787836
733	0.09809938254
734	0.09807095273
735	0.09803392659
736	0.09798803925
737	0.09794825024
738	0.09790688355
739	0.09786542227
740	0.09785329014
741	0.09781645904
742	0.09778459178
743	0.09774125425
744	0.09769871704
745	0.09768675001
746	0.09764762531
747	0.09762034475
748	0.09758955648
749	0.09757416197
750	0.09754451404
751	0.09750177004
752	0.09745134536
753	0.09741119408
754	0.09739000252
755	0.09735339232
756	0.09731813834
757	0.09730034111
758	0.0972867541
759	0.09725035357
760	0.09721622801
761	0.09717626329
762	0.09714497885
763	0.0970938796
764	0.09706720142
765	0.0970505023
766	0.09701519182
767	0.09698230209
768	0.09693779189
769	0.09690192645
770	0.09687263304
771	0.09685051337
772	0.09682278664
773	0.09679378519
774	0.0967780937
775	0.09676236098
776	0.09672960577
777	0.0966857956
778	0.09665564827
779	0.0966356779
780	0.09661517814
781	0.09659467475
782	0.09657869041
783	0.09654323433
784	0.09652115528
785	0.09651068352
786	0.09649345899
787	0.09644257477
788	0.09641151386
789	0.09637930452
790	0.09636605143
791	0.09632500785
792	0.09628941508
793	0.09626835031
794	0.09625944679
795	0.09624335718
796	0.09622464739
797	0.09619229113
798	0.09616553762
799	0.09614756986
800	0.09610671328
801	0.09607536405
802	0.09604268588
803	0.09599928762
804	0.09598431988
805	0.09597405662
806	0.09592990234
807	0.09592092024
808	0.09587604764
809	0.0958411081
810	0.09579287984
811	0.09573929252
812	0.0957008487
813	0.09566491227
814	0.09563636629
815	0.09559277492
816	0.09555078906
817	0.09552550616
818	0.09551280773
819	0.09548101001
820	0.09546189091
821	0.09543287444
822	0.09540470201
823	0.09536700396
824	0.09533572002
825	0.09532627787
826	0.09528684098
827	0.09524670464
828	0.09521456082
829	0.0952046697
830	0.09517482244
831	0.09513488351
832	0.0950903735
833	0.09504653851
834	0.09501749879
835	0.09500622108
836	0.09498277581
837	0.09497298931
838	0.09494209306
839	0.09493344266
840	0.09492143043
841	0.09489341555
842	0.09486050062
843	0.09484701967
844	0.09480541455
845	0.09476749422
846	0.09475133757
847	0.09472122324
848	0.09470734847
849	0.0946613728
850	0.09464526153
851	0.09462667577
852	0.09461232385
853	0.09458436894
854	0.09454435865
855	0.09451513377
856	0.09447893153
857	0.0944437835
858	0.09441849862
859	0.09440539272
860	0.0943679185
861	0.0943410736
862	0.09432027315
863	0.09429763345
864	0.0942666716
865	0.09423980199
866	0.09422594139
867	0.09420749067
868	0.09418242935
869	0.09415370428
870	0.09414434114
871	0.09411344927
872	0.09409291375
873	0.09405044509
874	0.0940217984
875	0.09399069636
876	0.09395723167
877	0.0939349891
878	0.09389889129
879	0.09385934304
880	0.09381958944
881	0.09378268155
882	0.09376718763
883	0.09374166476
884	0.09371193973
885	0.09368978707
886	0.09364415884
887	0.09361563512
888	0.09359233704
889	0.09356487552
890	0.09352610891
891	0.09348268772
892	0.0934741246
893	0.09343977121
894	0.09341520934
895	0.09340393103
896	0.09337451225
897	0.09333335447
898	0.09329405714
899	0.09328279689
900	0.09326712902
901	0.09324183561
902	0.09321444695
903	0.09318433068
904	0.09315948626
905	0.09313356751
906	0.09312393015
907	0.0930832299
908	0.09305329996
909	0.09300857707
910	0.09298859622
911	0.09296477899
912	0.09295490052
913	0.09291710322
914	0.09290019439
915	0.0928894903
916	0.09286799646
917	0.09285849593
918	0.09281775249
919	0.09278261084
920	0.09275337432
921	0.09272170024
922	0.09268967194
923	0.09266538579
924	0.092658316
925	0.09264773446
926	0.09263674789
927	0.09260036444
928	0.09259133801
929	0.09256508225
930	0.09255468286
931	0.09253546201
932	0.09251104354
933	0.09246128003
934	0.09241548258
935	0.09237160748
936	0.09235074202
937	0.09233481735
938	0.09231059959
939	0.09228927125
940	0.09227261035
941	0.09223033368
942	0.09220440171
943	0.09217195983
944	0.09214056847
945	0.09210753271
946	0.09208683223
947	0.09206200748
948	0.09202220864
949	0.09199888831
950	0.09197379056
951	0.09195724211
952	0.09194496579
953	0.09191894603
954	0.09189177723
955	0.09186384025
956	0.09184272595
957	0.09182310458
958	0.0917898976
959	0.09177484749
960	0.09176895761
961	0.09176229427
962	0.09174958058
963	0.09174267231
964	0.09171194064
965	0.09168349191
966	0.09165860293
967	0.09163169172
968	0.09161802217
969	0.09161056345
970	0.09157238915
971	0.09154507229
972	0.0915102788
973	0.09147969547
974	0.09147137067
975	0.09143164578
976	0.09142317867
977	0.09137365814
978	0.09134030466
979	0.09130664076
980	0.09128637078
981	0.09127327888
982	0.0912475657
983	0.09121936995
984	0.09121004489
985	0.09119497872
986	0.09118699447
987	0.09118053471
988	0.09117168855
989	0.09116299237
990	0.09114420847
991	0.09109763605
992	0.09107897293
993	0.09104672032
994	0.09102056627
995	0.09100180739
996	0.09097860127
997	0.0909527446
998	0.09093191526
999	0.09090641473
