iter	Passed	Remaining
308	1440	3221
309	1443	3213
310	1447	3206
311	1451	3200
312	1455	3194
313	1458	3187
314	1462	3179
315	1465	3172
316	1469	3166
317	1473	3160
318	1476	3152
319	1480	3145
320	1484	3140
321	1488	3133
322	1491	3126
323	1495	3120
324	1499	3113
325	1502	3106
326	1506	3100
327	1509	3092
328	1513	3087
329	1518	3082
330	1521	3075
331	1525	3069
332	1529	3063
333	1532	3056
334	1536	3049
335	1539	3042
336	1543	3035
337	1546	3029
338	1550	3023
339	1554	3017
340	1557	3010
341	1561	3003
342	1564	2996
343	1567	2989
344	1570	2982
345	1575	2977
346	1579	2972
347	1582	2965
348	1586	2959
349	1590	2953
350	1594	2947
351	1597	2941
352	1601	2935
353	1605	2929
354	1609	2923
355	1613	2919
356	1617	2913
357	1621	2907
358	1624	2901
359	1628	2895
360	1632	2888
361	1635	2882
362	1638	2875
363	1642	2870
364	1646	2864
365	1650	2858
366	1653	2852
367	1657	2846
368	1660	2840
369	1664	2834
370	1667	2827
371	1671	2821
372	1675	2816
373	1679	2811
374	1682	2804
375	1686	2799
376	1690	2792
377	1693	2786
378	1697	2780
379	1700	2774
380	1704	2769
381	1709	2765
382	1712	2759
383	1716	2753
384	1719	2747
385	1723	2741
386	1727	2735
387	1730	2729
388	1733	2723
389	1737	2717
390	1741	2711
391	1744	2706
392	1748	2700
393	1751	2694
394	1755	2688
395	1758	2682
396	1762	2676
397	1765	2670
398	1769	2664
399	1772	2659
400	1776	2653
401	1779	2647
402	1783	2641
403	1786	2635
404	1790	2630
405	1793	2624
406	1797	2618
407	1800	2612
408	1804	2607
409	1808	2603
410	1812	2597
411	1816	2591
412	1819	2585
413	1823	2580
414	1826	2574
415	1830	2569
416	1833	2562
417	1837	2558
418	1841	2553
419	1844	2547
420	1848	2542
421	1852	2536
422	1855	2531
423	1859	2525
424	1862	2519
425	1865	2514
426	1869	2508
427	1873	2503
428	1877	2498
429	1880	2492
430	1884	2487
431	1887	2481
432	1890	2476
433	1894	2470
434	1897	2464
435	1901	2459
436	1905	2455
437	1910	2451
438	1913	2445
439	1917	2440
440	1922	2436
441	1925	2431
442	1929	2425
443	1933	2421
444	1938	2417
445	1941	2411
446	1945	2406
447	1948	2400
448	1952	2395
449	1956	2390
450	1959	2385
451	1963	2380
452	1968	2376
453	1972	2372
454	1976	2366
455	1979	2361
456	1983	2356
457	1986	2350
458	1990	2346
459	1993	2340
460	1998	2336
461	2002	2332
462	2006	2326
463	2010	2322
464	2013	2316
465	2017	2311
466	2020	2306
467	2025	2302
468	2028	2297
469	2032	2292
470	2037	2288
471	2041	2283
472	2045	2278
473	2048	2273
474	2052	2268
475	2056	2264
476	2060	2259
477	2064	2254
478	2068	2249
479	2072	2245
480	2076	2240
481	2080	2235
482	2084	2230
483	2088	2226
484	2092	2221
485	2097	2217
486	2100	2212
487	2105	2208
488	2108	2203
489	2112	2198
490	2116	2193
491	2119	2188
492	2123	2183
493	2127	2178
494	2131	2174
495	2134	2169
496	2138	2164
497	2142	2159
498	2145	2154
499	2149	2149
500	2153	2144
501	2156	2139
502	2161	2135
503	2165	2131
504	2169	2126
505	2173	2122
506	2177	2117
507	2181	2112
508	2184	2107
509	2188	2102
510	2193	2098
511	2196	2093
512	2200	2088
513	2203	2083
514	2207	2078
515	2211	2073
516	2214	2068
517	2218	2064
518	2222	2059
519	2226	2055
520	2229	2050
521	2233	2045
522	2237	2040
523	2241	2036
524	2244	2031
525	2248	2026
526	2251	2021
527	2256	2016
528	2259	2011
529	2263	2007
530	2267	2002
531	2270	1997
532	2275	1993
533	2279	1989
534	2284	1985
535	2288	1981
536	2293	1977
537	2298	1974
538	2303	1969
539	2307	1965
540	2312	1961
541	2317	1957
542	2321	1954
543	2326	1950
544	2331	1946
545	2336	1942
546	2341	1938
547	2345	1934
548	2350	1930
549	2355	1927
550	2361	1923
551	2365	1919
552	2370	1915
553	2374	1911
554	2378	1907
555	2383	1903
556	2389	1900
557	2394	1896
558	2398	1892
559	2403	1888
560	2408	1884
561	2413	1881
562	2419	1877
563	2424	1873
564	2428	1870
565	2432	1865
566	2436	1861
567	2441	1856
568	2445	1852
569	2450	1848
570	2454	1844
571	2458	1839
572	2463	1835
573	2468	1831
574	2472	1827
575	2476	1822
576	2481	1819
577	2486	1815
578	2491	1811
579	2496	1807
580	2500	1803
581	2505	1799
582	2510	1795
583	2515	1791
584	2520	1787
585	2524	1783
586	2529	1779
587	2533	1775
588	2537	1770
589	2542	1766
590	2547	1762
591	2551	1758
592	2555	1754
593	2559	1749
594	2563	1745
595	2568	1740
596	2572	1736
597	2577	1732
598	2581	1728
599	2586	1724
600	2590	1719
601	2594	1715
602	2599	1711
603	2603	1706
604	2607	1702
605	2614	1699
606	2618	1695
607	2622	1690
608	2626	1686
609	2630	1682
610	2636	1678
611	2640	1674
612	2644	1669
613	2648	1665
614	2652	1660
615	2656	1655
616	2660	1651
617	2664	1646
618	2668	1642
619	2672	1637
620	2676	1633
621	2680	1629
622	2684	1624
623	2688	1619
624	2692	1615
625	2697	1611
626	2700	1606
627	2705	1602
628	2709	1598
629	2713	1593
630	2717	1588
631	2720	1584
632	2724	1579
633	2728	1574
634	2731	1570
635	2735	1565
636	2740	1561
637	2743	1556
638	2747	1552
639	2751	1547
640	2756	1543
641	2759	1539
642	2763	1534
643	2767	1530
644	2772	1525
645	2776	1521
646	2779	1516
647	2783	1512
648	2786	1507
649	2790	1502
650	2794	1498
651	2798	1493
652	2802	1489
653	2806	1484
654	2810	1480
655	2814	1475
656	2817	1471
657	2821	1466
658	2825	1462
659	2830	1458
660	2834	1453
661	2839	1449
662	2843	1445
663	2846	1440
664	2850	1435
665	2854	1431
666	2857	1426
667	2861	1422
668	2865	1417
669	2870	1413
670	2874	1409
671	2878	1404
672	2882	1400
673	2887	1396
674	2891	1392
675	2894	1387
676	2899	1383
677	2903	1378
678	2906	1374
679	2911	1369
680	2914	1365
681	2918	1360
682	2922	1356
683	2926	1351
684	2930	1347
685	2934	1343
686	2938	1338
687	2942	1334
688	2945	1329
689	2949	1325
690	2952	1320
691	2956	1315
692	2959	1311
693	2964	1307
694	2969	1302
695	2973	1298
696	2977	1294
697	2981	1290
698	2986	1285
699	2990	1281
700	2995	1277
701	3000	1273
702	3004	1269
703	3008	1265
704	3013	1260
705	3017	1256
706	3022	1252
707	3026	1248
708	3030	1244
709	3035	1239
710	3039	1235
711	3044	1231
712	3048	1226
713	3052	1222
714	3056	1218
715	3061	1214
716	3066	1210
717	3070	1206
718	3074	1201
719	3078	1197
720	3082	1192
721	3087	1188
722	3091	1184
723	3096	1180
724	3100	1176
725	3105	1172
726	3110	1167
727	3114	1163
728	3119	1159
729	3123	1155
730	3130	1151
731	3136	1148
732	3141	1144
733	3147	1140
734	3153	1136
735	3158	1132
736	3163	1128
737	3167	1124
738	3171	1120
739	3175	1115
740	3180	1111
741	3184	1107
742	3188	1102
743	3193	1098
744	3198	1094
745	3202	1090
746	3206	1086
747	3210	1081
748	3215	1077
749	3219	1073
750	3224	1069
751	3228	1064
752	3232	1060
753	3236	1055
754	3239	1051
755	3243	1046
756	3247	1042
757	3252	1038
758	3256	1034
759	3260	1029
760	3263	1025
761	3267	1020
762	3271	1016
763	3275	1011
764	3280	1007
765	3284	1003
766	3288	999
767	3292	994
768	3296	990
769	3300	985
770	3304	981
771	3307	976
772	3310	972
773	3314	967
774	3319	963
775	3322	959
776	3326	954
777	3330	950
778	3333	945
779	3337	941
780	3341	936
781	3344	932
782	3348	927
783	3352	923
784	3355	919
785	3359	914
786	3363	910
787	3366	905
788	3371	901
789	3374	897
790	3378	892
791	3381	888
792	3385	883
793	3389	879
794	3408	878
795	3411	874
796	3416	870
797	3419	865
798	3423	861
799	3426	856
800	3430	852
801	3433	847
802	3438	843
803	3442	839
804	3446	834
805	3452	830
806	3455	826
807	3459	822
808	3463	817
809	3467	813
810	3470	808
811	3474	804
812	3478	800
813	3482	795
814	3486	791
815	3489	786
816	3493	782
817	3498	778
818	3502	773
819	3505	769
820	3509	765
821	3513	760
822	3518	756
823	3521	752
824	3524	747
825	3528	743
826	3532	738
827	3535	734
828	3539	730
829	3543	725
830	3546	721
831	3550	716
832	3554	712
833	3557	708
834	3561	703
835	3565	699
836	3568	694
837	3571	690
838	3575	686
839	3579	681
840	3582	677
841	3586	673
842	3590	668
843	3593	664
844	3597	659
845	3601	655
846	3604	651
847	3619	648
848	3623	644
849	3626	640
850	3630	635
851	3633	631
852	3637	626
853	3641	622
854	3644	618
855	3648	613
856	3651	609
857	3655	604
858	3658	600
859	3662	596
860	3666	591
861	3669	587
862	3673	583
863	3677	578
864	3681	574
865	3684	570
866	3688	565
867	3691	561
868	3695	557
869	3698	552
870	3702	548
871	3706	544
872	3710	539
873	3714	535
874	3718	531
875	3721	526
876	3724	522
877	3728	518
878	3731	513
879	3735	509
880	3740	505
881	3743	500
882	3747	496
883	3750	492
884	3754	487
885	3757	483
886	3761	479
887	3764	474
888	3769	470
889	3773	466
890	3776	462
891	3780	457
892	3784	453
893	3787	449
894	3791	444
895	3794	440
896	3798	436
897	3802	431
898	3805	427
899	3809	423
900	3812	418
901	3816	414
902	3820	410
903	3823	406
904	3826	401
905	3830	397
906	3834	393
907	3837	388
908	3841	384
909	3844	380
910	3847	375
911	3851	371
912	3855	367
913	3858	363
914	3862	358
915	3866	354
916	3870	350
917	3874	346
918	3877	341
919	3881	337
920	3885	333
921	3889	329
922	3893	324
923	3897	320
924	3900	316
925	3904	312
926	3908	307
927	3912	303
928	3916	299
929	3919	295
930	3923	290
931	3926	286
932	3930	282
933	3934	278
934	3937	273
935	3941	269
936	3945	265
937	3948	261
938	3952	256
939	3956	252
940	3959	248
941	3963	244
942	3967	239
943	3971	235
944	3974	231
945	3978	227
946	3981	222
947	3985	218
948	3988	214
949	3992	210
950	3995	205
951	3999	201
952	4003	197
953	4006	193
954	4010	188
955	4014	184
956	4018	180
957	4021	176
958	4025	172
959	4029	167
960	4033	163
961	4037	159
962	4040	155
963	4044	151
964	4048	146
965	4052	142
966	4055	138
967	4059	134
968	4062	129
969	4066	125
970	4070	121
971	4073	117
972	4077	113
973	4080	108
974	4083	104
975	4087	100
976	4091	96
977	4094	92
978	4098	87
979	4102	83
980	4105	79
981	4109	75
982	4112	71
983	4116	66
984	4120	62
985	4124	58
986	4127	54
987	4131	50
988	4134	45
989	4138	41
990	4142	37
991	4145	33
992	4149	29
993	4152	25
994	4156	20
995	4160	16
996	4164	12
997	4167	8
998	4171	4
999	4174	0
